game,rating,platform,genre,release
1.000 mittelschwere Kreuzworträtsel,3,PC,Board / Card,2010-03-15
1.000 superschwere Kreuzworträtsel,3,PC,Board / Card,2010-03-15
1.010 XP- & Vista-Spiele Jubiläums-Edition,12,PC,Other,2008-07-11
10 Days To Save The World,3,PC,Other,2010-06-04
10 Frame Bowling,3,XBox 360,Sports,2013-03-05
10 Minute Solution,3,Nintendo Wii,Sports,2010-06-25
10 Pin:  Champions Alley,3,Playstation 2,Sports,2005-05-27
10 Second Ninja X,7,PlayStation 4,Action,2016-06-29
10 Second Ninja X,7,PlayStation Vita,Action,2016-06-29
10 Second Ninja X,7,Xbox One,Action,2016-06-29
10 Second Run,3,Nintendo DSi - DSiWare,Action,2010-09-03
10 Tage unter dem Meer,3,PC,Other,2008-11-14
10 voor Taal,3,Nintendo DS,Educational,2009-06-05
10-in-1: Arcade Collection,3,Nintendo 3DS,Other,2013-08-01
10-pin Bowling,3,PlayStation Network,Sports,2008-12-03
100 % Wimmelbild,3,PC,Adventure,2012-03-06
100 Denk- & Logikspiele,12,Nintendo DS,Other,2011-03-25
100 Spiele für Windows 7,12,PC,Other,2009-11-16
100 Spiele für Windows Vista,3,PC,Other,2009-03-30
100% Wimmelbild 2,3,PC,Puzzle,2014-09-17
1000 Games Volume 3,3,PC,Other,2008-10-14
1000 Tiny Claws,12,Sony PSP - PSP GO,Action,2011-10-04
10000 Bullets,16,Playstation 2,Action,2006-01-10
1001 Blockbusters,3,Nintendo DSi - DSiWare,Other,2011-11-10
1001 Crosswords,3,Nintendo DS,Puzzle,2012-09-20
1001 Crystal Mazes Collection,3,Nintendo DSi - DSiWare,Puzzle,2010-12-10
1001 Spikes,7,Nintendo 3DS,Action,2014-06-19
1001 Spikes,7,Nintendo Wii U,Action,2014-07-23
1001 Spikes,7,PlayStation 4,Action,2014-07-23
1001 Spikes,7,PlayStation Vita,Action,2014-07-23
1001 Spikes,7,Xbox One,Action,2014-07-23
1001 TouchGames,3,Nintendo DS,Action,2011-09-30
1001 Touchgames,3,Nintendo DS,Other,2011-07-22
100ft Robot Golf,12,PlayStation 4,Sports,2016-10-10
101 Dalmatians Storybook & print studio,3,PC,Educational,2006-04-07
101 Denk- & Knobelspiele,3,PC,Other,2008-07-07
101 DinoPets 3D,3,Nintendo 3DS,Simulation,2013-03-08
101 Dolphin Pets,3,Nintendo DSi - DSiWare,Simulation,2011-02-11
101 MiniGolf World,3,Nintendo DSi - DSiWare,Sports,2010-12-17
101 PC Games Cover,16,PC,Other,2003-04-10
101 Penguin Pets 3D,3,Nintendo 3DS,Simulation,2013-08-09
101 Pinball World,3,Nintendo DSi - DSiWare,Other,2012-04-19
101 Pony Pets,3,Nintendo 3DS,Simulation,2014-07-30
101 Puppy Pets,3,PC,Simulation,2007-09-27
101 Shark Pets,3,Nintendo DSi - DSiWare,Simulation,2011-01-20
101 Ways To Die,12,PC,Puzzle,2016-01-11
101 Ways To Die,12,PlayStation 4,Puzzle,2016-01-09
101 Ways To Die,12,Xbox One,Puzzle,2016-01-11
101-in-1 Explosive Megamix,3,Nintendo DS,Other,2008-10-30
101-in-1 Explosive Megamix,7,Nintendo Wii,Other,2011-08-01
101-in-1 Megamix,3,Sony PSP,Other,2010-05-30
101-in-1 Megamix Sports,3,Nintendo DS,Other,2010-08-04
101-in-1 Party Megamix Wii,3,Nintendo Wii,Other,2009-10-30
101-in-1 Sports Party Megamix,12,Nintendo Wii,Other,2010-11-26
102 Dalmatians Action Game,3,PC,Adventure,2004-02-01
102 Dalmatians Activity Centre,3,PC,Adventure,2005-09-16
1080 Avalanche,3,GameCube,Racing,2003-11-28
1080° Snowboarding,3,Nintendo Wii - Virtual Console,Sports,2008-01-18
11 Kartenspiele,12,Nintendo DS,Other,2010-05-19
112 Reddings Helikopter,3,PC,Other,2004-02-16
140,3,PlayStation 4,Other,2016-07-26
140,3,PlayStation Vita,Other,2016-07-26
140,3,Xbox One,Action,2016-07-26
15 Days,16,PC,Adventure,2009-11-13
"15,000 Sudoku Puzzles",3,PC,Puzzle,2005-10-10
16 Shot! SHOOTING WATCH,3,Nintendo DSi - DSiWare,Other,2010-06-03
18 Kartenspiele,12,Nintendo DS,Other,2011-01-19
18 Wheels Haulin,3,PC,Racing,2008-03-14
18 Wheels of Steel - Extreme Trucker,3,PC,Simulation,2009-11-18
18 Wheels of Steel - Extreme Trucker,3,PC,Simulation,2010-08-27
18 Wheels of Steel - Extreme Trucker 2,3,PC,Simulation,2011-02-11
18 Wheels of Steel Across America,3,PC,Simulation,
18 Wheels of Steel American Long Haul,3,PC,Racing,2008-03-14
18 Wheels of Steel American Long Haul,3,PC,Racing,2009-01-30
18 Wheels of Steel Convoy,3,PC,Racing,2009-01-30
18 Wheels of Steel Extreme Trucker 2,3,PC,Racing,2011-02-14
18 Wheels of Steel Gold-Edition,3,PC,Simulation,2009-01-30
18 Wheels of Steel Pedal to the Metal,3,PC,Simulation,2004-11-22
18 Wheels of Steel Triple Pack,3,PC,Simulation,2011-04-14
18 Wheels of Steel: Convoy,3,PC,Action,2007-09-08
18 Wheels of Steel: Convoy,3,PC,Racing,2009-02-18
18 Wheels of Steel: Extreme Trucker 2,3,PC,Other,2011-03-25
18 Wheels of Steel: Haulin',3,PC,Simulation,2007-06-15
187 RIDE OR DIE,16,Playstation 2,Action,2005-08-29
187 RIDE OR DIE,16,XBox,Action,2005-08-29
18th Gate,7,Nintendo DSi - DSiWare,Strategy,2012-09-27
1942,7,Nintendo Wii - Virtual Console,Other,2011-01-01
1942,7,Playstation 3,Action,2013-02-06
1942,7,XBox 360,Action,2013-02-06
1942: Joint Strike,7,PlayStation Network,Other,2008-06-08
1942: Joint Strike,7,XBOX 360 Live Arcade,Other,2008-06-08
1943,7,Playstation 3,Action,2013-02-06
1943,7,XBox 360,Action,2013-02-06
1943 Kai,7,Playstation 3,Action,2013-02-06
1943 Kai,7,XBox 360,Action,2013-02-06
1945 I&II,3,Playstation 2,Action,2004-07-14
1950s Lawn Mower Kids™,3,Nintendo DSi - DSiWare,Other,2011-09-01
1954 Alcatraz,16,PC,Adventure,2014-01-24
1st Class Poker & Blackjack,12,Nintendo DSi - DSiWare,Board / Card,2011-12-18
1vs100,12,XBOX 360 Live Arcade,Other,2009-05-31
1vs100 - FRENCH,12,XBOX 360 Live Arcade,Action,2009-06-30
1vs100 - GERMAN,12,XBOX 360 Live Arcade,Other,2009-06-30
1½ Ritter – auf der Suche nach der hinreißenden Herzelinde,12,PC,Adventure,2008-12-14
2 Fast 4 Gnomz,3,Nintendo 3DS,Other,2012-11-01
2 Fast 4 Gnomz,3,Nintendo Wii,Other,2011-12-22
2-in-1 Solitaire,3,Nintendo DSi - DSiWare,Board / Card,2009-09-11
200 Classic Games,12,PC,Other,2008-11-12
200 Logikspiele,3,PC,Other,2008-04-02
2005 Games Review DVD,12,PC,Other,2004-12-10
2006 FIFA WORLD CUP,3,Game Boy Advance,Sports,2006-05-04
2006 FIFA WORLD CUP,3,GameCube,Sports,2006-05-04
2006 FIFA WORLD CUP,3,Mobile,Sports,2006-05-04
2006 FIFA WORLD CUP,3,Nintendo DS,Sports,2006-05-04
2006 FIFA WORLD CUP,3,PC,Sports,2006-05-04
