game,rating,platform,genre,release
CT Special Forces Fire for Effect,16,XBox,Action,2005-03-31
CUBE #24 Video Disc,12,PC,Other,2003-09-25
CUBE #25 Video Disc,16,PC,Other,2003-10-23
CUCCIOLI CERCA AMICI,3,Digiblast,Simulation,2007-06-01
CULTURE GENERALE POUR LES NULS,3,Nintendo DS,Action,2008-06-13
CYBER DANGANRONPA VR THE CLASS TRIAL,12,PlayStation 4,Adventure,2017-02-01
CYBERDIMENSION NEPTUNIA: 4 GODDESSES ONLINE,12,PlayStation 4,RPG,2017-05-24
CYCLING MANAGER 4 2004/2005,3,PC,Sports,2004-06-25
Cabbage Patch Kids - The Patch Puppy Rescue,3,Game Boy Advance,Adventure,2006-06-23
Cabbage Patch Kids Where's my Pony?,3,PC,Adventure,2006-05-28
Cabela Big Game Hunter Pro Hunts,16,Nintendo Wii U,Action,2014-10-24
Cabela Big Game Hunter Pro Hunts,16,PC,Action,2014-10-23
Cabela Big Game Hunter Pro Hunts,16,Playstation 3,Action,2014-10-22
Cabela Big Game Hunter Pro Hunts,16,XBox 360,Action,2014-10-24
Cabela's Adventure Camp,3,Nintendo Wii,Other,2011-11-18
Cabela's Adventure Camp,3,Playstation 3,Other,2011-11-17
Cabela's Adventure Camp,3,XBox 360,Other,2011-11-16
Cabela's African Adventures,16,PC,Adventure,2013-10-14
Cabela's African Adventures,16,PlayStation 4,Adventure,2015-03-24
Cabela's African Adventures,16,Playstation 3,Adventure,2013-10-15
Cabela's African Adventures,16,XBox 360,Adventure,2013-10-14
Cabela's African Adventures,16,Xbox One,Adventure,2015-03-24
Cabela's Alaskan Adventure,12,XBox 360,Action,2006-11-24
Cabela's Big Game Hunter,12,Playstation 2,Sports,2004-01-10
Cabela's Big Game Hunter (2008),16,Nintendo Wii,Action,2008-02-29
Cabela's Big Game Hunter (2008),16,Playstation 2,Action,2008-02-29
Cabela's Big Game Hunter 2005 Adventures,12,Game Boy Advance,Sports,2005-10-14
Cabela's Big Game Hunter 2005 Adventures,16,Playstation 2,Action,2005-10-14
Cabela's Big Game Hunter 2005 Adventures,16,XBox,Action,2005-10-14
Cabela's Big Game Hunter 2006 season,12,PC,Action,2006-04-21
Cabela's Big Game Hunter 2012,16,Nintendo Wii,Sports,2012-03-08
Cabela's Big Game Hunter 2012,16,Playstation 3,Sports,2012-03-08
Cabela's Big Game Hunter 2012,16,XBox 360,Sports,2012-03-09
Cabela's Dangerous Adventures,16,Nintendo Wii,Sports,2009-02-06
Cabela's Dangerous Adventures,16,Playstation 2,Sports,2009-02-06
Cabela's Dangerous Adventures,16,Playstation 3,Sports,2009-02-06
Cabela's Dangerous Adventures,16,XBox 360,Sports,2009-02-06
Cabela's Dangerous Hunts,12,Playstation 2,Action,2005-12-16
Cabela's Dangerous Hunts,12,XBox,Action,2005-12-16
Cabela's Dangerous Hunts 2,12,PC,Action,2006-04-21
Cabela's Dangerous Hunts 2011,16,Nintendo Wii,Action,2011-03-11
Cabela's Dangerous Hunts 2011,16,Playstation 3,Action,2011-03-10
Cabela's Dangerous Hunts 2011,16,XBox 360,Action,2011-03-09
Cabela's Dangerous Hunts 2013,16,Nintendo Wii,Adventure,2012-10-26
Cabela's Dangerous Hunts 2013,16,Playstation 3,Adventure,2012-10-26
Cabela's Dangerous Hunts 2013,16,XBox 360,Adventure,2012-10-26
Cabela's Dangerous Hunts: Ultimate Challenge,12,Sony PSP,Action,2006-12-01
Cabela's Survival: Shadows of Katmai,16,Nintendo Wii,Sports,2011-11-17
Cabela's Survival: Shadows of Katmai,16,Playstation 3,Sports,2011-11-16
Cabela's Survival: Shadows of Katmai,16,XBox 360,Sports,2011-11-16
Cabelas Grand Slam Hunting Trophies 2004,12,PC,Sports,2005-03-25
Cabela’s Big Game Hunter,16,XBox 360,Action,2008-02-29
Cabellas Grand Slam Hunting Trophies 2004,12,PC,Action,2005-11-25
Caesar Collection,12,PC,Strategy,2005-05-04
Caesar IV,12,PC,Strategy,2006-10-13
Cahier de Vacances pour Adultes,3,Nintendo DS,Other,2008-06-26
Cahier de vacances pour adultes 2,3,Nintendo DS,Other,2009-05-30
Cake Mania,3,Nintendo DS,Puzzle,2007-09-21
Cake Mania - In The Mix,3,Nintendo Wii,Simulation,2009-03-14
"Cake Mania - Lights, Camera, Action!",3,PC,Action,2011-04-29
Cake Mania 2,3,Nintendo DS,Simulation,2009-01-23
Cake Mania 3,3,Nintendo DS,Puzzle,2010-01-08
Cake Mania 3,3,PC,Puzzle,2009-06-05
Cake Mania 3,3,PC,Other,2009-09-18
Cake Mania 3,3,PC,Other,2009-10-20
Cake Mania Deluxe,3,PC,Puzzle,2009-04-08
Cake Ninja,3,Nintendo DSi - DSiWare,Action,2011-08-19
Cake Ninja 2,3,Nintendo DSi - DSiWare,Action,2012-07-31
Cake Ninja3: The Legend Continues,3,Nintendo Wii U,Action,2014-10-31
Cake Ninja: XMAS,3,Nintendo DSi - DSiWare,Action,2011-11-14
Cake Shop,3,PC,Puzzle,2010-07-16
Cake Shop 2,3,PC,Puzzle,2011-02-04
Caladrius,12,XBox 360,Action,2015-09-04
Caladrius Blaze,12,PlayStation 4,Action,2016-04-30
California Games,3,Nintendo Wii - Virtual Console,Sports,2008-04-11
California Super Sports,3,Nintendo DSi - DSiWare,Sports,2013-03-29
Call of Atlantis,3,Nintendo DS,Other,2010-11-25
Call of Atlantis,3,PC,Other,2009-04-08
Call of Atlantis: Schätze des Poseidons,3,PC,Puzzle,2014-06-25
Call of Cthulhu,18,XBox,Action,2005-10-21
Call of Cthulhu Dark Corners of the Earth,18,PC,Adventure,2006-03-30
Call of Duty,12,Nokia mobile phone,Strategy,2004-11-04
Call of Duty,16,PC,Action,2003-11-07
Call of Duty - United Offensive Expansion Pack,16,PC,Adventure,2004-09-24
Call of Duty 2,16,Macintosh,Action,2006-06-02
Call of Duty 2,16,PC,Action,2005-11-04
Call of Duty 2,16,XBox 360,Action,2005-11-25
Call of Duty 2 - Game of the Year,16,PC,Action,2006-06-30
Call of Duty 2 - Game of the Year Edition,16,XBox 360,Action,2006-06-30
Call of Duty 2: Big Red One,16,GameCube,Action,2005-11-18
Call of Duty 2: Big Red One,16,Playstation 2,Action,2005-11-18
Call of Duty 2: Big Red One,16,XBox,Action,2005-11-18
Call of Duty 2: Big Red One Collector's Edition,16,Playstation 2,Action,2005-11-18
Call of Duty 2: Big Red One Collector's Edition,16,XBox,Action,2005-11-18
Call of Duty 3,16,Nintendo Wii,Sports,2006-12-01
Call of Duty 3,16,Playstation 2,Sports,2006-11-10
Call of Duty 3,16,Playstation 3,Sports,2007-03-23
Call of Duty 3,16,XBox,Action,2006-11-10
Call of Duty 3,16,XBox 360,Sports,2006-11-10
Call of Duty 4 - Modern Warfare,16,Macintosh,Action,2008-09-26
Call of Duty 4 - Modern Warfare,16,Nintendo DS,Action,2007-11-05
Call of Duty 4 - Modern Warfare,16,Nintendo Wii,Action,2009-11-10
Call of Duty 4 - Modern Warfare,16,PC,Action,2007-11-09
Call of Duty 4 - Modern Warfare,16,Playstation 3,Action,2007-11-09
Call of Duty 4 - Modern Warfare,16,XBox 360,Action,2007-11-09
Call of Duty : Modern Warfare 3,18,Nintendo Wii,Action,2011-11-07
Call of Duty : Modern Warfare 3,18,PC,Action,2011-11-08
Call of Duty : Modern Warfare 3,18,Playstation 3,Action,2011-11-08
Call of Duty : Modern Warfare 3,18,XBox 360,Action,2011-11-08
Call of Duty : World At War,16,Nintendo DS,Action,2008-11-17
Call of Duty : World At War,18,Nintendo Wii,Action,2008-11-14
Call of Duty : World At War,18,PC,Action,2008-11-14
Call of Duty : World At War,18,Playstation 3,Action,2008-11-14
Call of Duty : World At War,18,XBox 360,Action,2008-11-14
Call of Duty : World At War Final Fronts,16,Playstation 2,Action,2008-11-14
Call of Duty Black Ops : Declassified,16,PlayStation Vita,Action,2012-11-13
Call of Duty Classic,16,PlayStation Network,Action,2009-11-10
Call of Duty Classic,16,XBOX 360 Live Arcade,Action,2009-11-10
Call of Duty Infinite Warfare PlayStation VR Jackal Experience,12,PlayStation 4,Action,2016-11-04
Call of Duty Modern Warfare 2,18,PC,Action,2009-11-10
Call of Duty Modern Warfare 2,18,Playstation 3,Action,2009-11-10
Call of Duty Modern Warfare 2,18,XBox 360,Action,2009-11-10
Call of Duty: Black Ops,16,Nintendo DS,Action,2010-11-10
Call of Duty: Black Ops (PC),18,PC,Action,2010-11-07
Call of Duty: Black Ops (PS3),18,Playstation 3,Action,2010-11-08
Call of Duty: Black Ops (Wii),18,Nintendo Wii,Action,2010-11-09
Call of Duty: Black Ops (Xbox),18,XBox 360,Action,2010-11-09
Call of Duty: Black Ops 2,18,Nintendo Wii U,Action,2012-11-13
Call of Duty: Black Ops 2,18,PC,Action,2012-11-13
Call of Duty: Black Ops 2,18,Playstation 3,Action,2012-11-13
Call of Duty: Black Ops 2,18,XBox 360,Action,2012-11-13
Call of Duty: Black Ops III,18,PC,Action,2015-11-06
Call of Duty: Black Ops III,18,PlayStation 4,Action,2015-11-06
Call of Duty: Black Ops III,18,Playstation 3,Action,2015-11-06
Call of Duty: Black Ops III,18,XBox 360,Action,2015-11-06
Call of Duty: Black Ops III,18,Xbox One,Action,2015-11-06
Call of Duty: Finest Hour,16,GameCube,Action,2004-11-26
Call of Duty: Finest Hour,16,Playstation 2,Action,2004-11-26
Call of Duty: Finest Hour,16,XBox,Action,2004-11-26
Call of Duty: Ghosts,16,Nintendo Wii U,Action,2013-11-05
Call of Duty: Ghosts,16,PC,Action,2013-11-05
Call of Duty: Ghosts,16,PlayStation 4,Action,2013-11-05
Call of Duty: Ghosts,16,Playstation 3,Action,2013-11-05
Call of Duty: Ghosts,16,XBox 360,Action,2013-11-05
Call of Duty: Ghosts,16,Xbox One,Action,2013-11-05
Call of Duty: Infinite Warfare,18,PC,Action,2016-11-04
Call of Duty: Infinite Warfare,18,PlayStation 4,Action,2016-11-04
Call of Duty: Infinite Warfare,18,Xbox One,Action,2016-11-04
Call of Duty: Modern Warfare 3: Defiance,16,Nintendo DS,Action,2011-11-08
Call of Duty: Modern Warfare Remastered,16,PC,Action,2016-11-04
Call of Duty: Modern Warfare Remastered,16,PlayStation 4,Action,2016-11-04
Call of Duty: Modern Warfare Remastered,16,Xbox One,Action,2016-11-04
Call of Duty: Modern Warfare: Mobilized,16,Nintendo DS,Action,2009-11-10
Call of Duty: Roads To Victory,16,Sony PSP,Action,2007-03-30
Call of Duty®: Advanced Warfare,18,PC,Action,2014-11-04
Call of Duty®: Advanced Warfare,18,PlayStation 4,Action,2014-11-04
Call of Duty®: Advanced Warfare,18,Playstation 3,Action,2014-11-04
Call of Duty®: Advanced Warfare,18,XBox 360,Action,2014-11-04
Call of Duty®: Advanced Warfare,18,Xbox One,Action,2014-11-04
Call of Duty®: Black Ops III Multiplayer Starter Pack,18,PC,Action,2016-01-11
Call of Juarez,18,PC,Action,2006-09-08
Call of Juarez,18,PC,Action,2006-09-15
Call of Juarez,18,PC,Action,2010-03-26
Call of Juarez,18,XBox 360,Action,2007-06-28
Call of Juarez Gunslinger,16,PC,Action,2013-05-22
Call of Juarez Gunslinger,16,Playstation 3,Action,2013-05-06
Call of Juarez Gunslinger,16,XBox 360,Action,2013-05-07
Call of Juarez The Cartel,18,PC,Action,2011-06-30
Call of Juarez The Cartel,18,Playstation 3,Action,2011-06-30
Call of Juarez The Cartel,18,XBox 360,Action,2011-06-30
Call of Juarez: Bound in Blood,16,PC,Action,2009-07-27
Call of Juarez: Bound in Blood,16,Playstation 3,Action,2009-07-27
Call of Juarez: Bound in Blood,16,XBox 360,Action,2009-07-27
Call of the Ages,3,PC,Puzzle,2014-03-19
Calling,12,Nintendo Wii,Action,2010-03-18
Calling All Cars,3,PlayStation Network,Action,2007-05-18
Calvin Tucker's Redneck Farm Animal Racing Tournament,3,Nintendo Wii,Racing,2012-03-09
Calvin Tucker's Redneck Jamboree,3,Nintendo Wii,Other,2009-03-20
Calvin Tucker's Redneck Jamboree,3,PC,Other,2009-03-20
Calvino Noir,12,PlayStation 4,Adventure,2015-07-09
Camgoo,3,PC,Other,2004-09-21
Camp Rock Guitar Video Game,3,Plug and Play,Music / Dance,2009-02-15
Camp Rock: the Final Jam,3,Nintendo DS,Adventure,2010-09-09
Campgrounds-baue deinen Campingplatz,3,PC,Puzzle,2013-06-05
Camping Tycoon,3,PC,Action,2006-12-15
Camping-Manager 2012,3,PC,Simulation,2012-04-25
Campus,3,PC,Simulation,2007-10-31
Canabalt,7,Sony PSP - PSP GO,Action,2011-12-22
Candle,7,PC,Adventure,2016-05-31
Candle Route,3,Nintendo DSi - DSiWare,Puzzle,2012-07-26
Candleman,7,Xbox One,Adventure,2016-10-01
Candy Match 3,3,Nintendo 3DS,Other,2013-11-22
Canis Canem Edit,16,Playstation 2,Action,2006-10-27
Cannon Brawl,7,PlayStation 4,Strategy,2016-07-12
Cannon Brawl,7,Xbox One,Strategy,2016-07-19
Cannon Fodder 3,12,PC,Action,2014-04-27
Cannon Strike,16,PC,Strategy,2009-07-15
Cannon Strike,16,PC,Strategy,2009-10-27
CannonCruise,3,PC,Adventure,2004-10-01
CannonCruise,3,Playstation 2,Adventure,2004-10-01
Canvaleon,7,Nintendo Wii U,Action,2015-07-23
Capcom Arcade Hits Volume 1,12,PC,Action,2005-03-18
Capcom Arcade Hits Volume 2,3,PC,Action,2005-03-18
Capcom Arcade Hits Volume 3,3,PC,Action,2005-03-18
Capcom Classics Collection,12,Playstation 2,Other,2005-11-04
Capcom Classics Collection,12,XBox,Other,2005-11-04
Capcom Classics Collection 2,12,Playstation 2,Other,2007-02-23
Capcom Classics Collection Reloaded,12,Sony PSP,Other,2006-11-10
Capcom Classics Collection Remixed,12,Sony PSP,Other,2006-07-17
Capcom Digital Collection,16,XBox 360,Other,2012-03-30
Capcom Fighting Jam,12,Playstation 2,Action,2005-02-11
Capcom Fighting Jam,12,XBox,Action,2005-06-03
Capcom Puzzle World,3,Sony PSP,Puzzle,2007-08-01
Capcom TV Games,7,Plug and Play,Action,2005-09-19
Capcom Vs. SNK 2,12,Playstation 3,Action,2013-05-15
Capela’s Big Game Hunter 2010,16,Nintendo Wii,Sports,2010-05-28
Capitalism 2*,3,PC,Strategy,2005-01-01
Capsized,12,PC,Action,2011-04-29
Capsized,12,XBox 360,Action,2011-09-26
Capsized+,12,Playstation 3,Action,2011-10-27
Capsule Force,7,PC,Action,2015-08-25
Capsule Force,7,PlayStation 4,Action,2015-08-25
Captain America : Super Soldier,12,Nintendo DS,Action,2011-07-15
Captain America: Super Soldier,12,Nintendo 3DS,Action,2011-09-09
Captain America: Super Soldier,12,Nintendo Wii,Action,2011-07-14
Captain America: Super Soldier,16,Playstation 3,Action,2011-07-14
Captain America: Super Soldier,16,XBox 360,Action,2011-07-14
Captain Blood,18,PC,Action,2012-08-31
Captain Blood,18,XBox 360,Action,2012-08-31
Captain Morgane and the Golden Turtle,12,Nintendo DS,Adventure,2011-10-11
Captain Morgane and the Golden Turtle,12,Nintendo Wii,Adventure,2011-10-11
Captain Morgane and the Golden Turtle,12,PC,Adventure,2011-10-13
Captain Morgane and the Golden Turtle,12,Playstation 3,Adventure,2011-10-14
Captain Scarlet,7,Playstation 2,Adventure,2006-12-08
Captain Sub,3,Nintendo DSi - DSiWare,Action,2011-03-04
Captain Toad: Treasure Tracker,3,Nintendo Wii U,Action,2015-01-02
Captain Tsubasa: New Kick Off,3,Nintendo DS,Sports,2010-10-28
Car Jack Streets,12,Nintendo DSi - DSiWare,Action,2009-12-04
Car Jack Streets,12,Sony PSP Go,Action,2010-06-22
Car Jacker,16,PC,Action,2006-03-31
Car Mechanic Simulator 2014,3,PC,Simulation,2014-04-24
Car Mechanic Simulator 2015,3,PC,Simulation,2015-04-24
Car Racing Challenge,12,Playstation 2,Action,2006-02-20
Car mechanic simulator 2014,3,PC,Simulation,2014-06-26
Caravan,3,PC,Simulation,2005-10-14
Caravan,7,PC,Adventure,2016-07-29
Carcassonne,3,Nintendo DS,Board / Card,2009-10-23
Card Games - Game Chest,3,Mobile,Board / Card,2010-11-10
Card Games: The Classics,12,Nintendo DS,Board / Card,2011-10-31
Card Shark,12,PlayStation Network,Board / Card,2010-11-05
Care Bears Care Quest,3,Game Boy Advance,Action,2005-10-14
CareBears,3,Plug and Play,Puzzle,2005-07-15
Cargo Pilot,3,PC,Simulation,2006-09-15
Cargo!,12,PC,Action,2011-04-07
Caribbean Explorer,3,PC,Other,2009-09-30
Carmageddon Max Damage,18,PlayStation 4,Racing,2016-07-08
Carmageddon Max Damage,18,Xbox One,Racing,2016-07-08
Carmen Sandiego The Secret of the Stolen Drums,7,Playstation 2,Adventure,2003-11-28
Carnage Heart EXA,12,Sony PSP - PSP GO,Simulation,2013-07-18
CarneyVale Showtime,3,Mobile,Other,2010-11-10
CarneyVale Showtime,3,PC,Other,2010-08-18
Carnival,3,Nintendo Wii,Other,2007-10-19
Carnival,3,PC,Other,2016-12-16
Carnival,3,PlayStation 4,Other,2016-10-28
Carnival Games,3,Nintendo DS,Other,2008-07-25
Carnival Games: In Action,3,XBox 360,Other,2011-04-08
Carnival Island,3,Playstation 3,Other,2011-11-25
Carnival Minigolf,3,Nintendo Wii,Sports,2008-08-08
Carnival Wild West,3,Nintendo 3DS,Other,2011-11-25
Carnivores: Dinosaur Hunter,12,Sony PSP Go,Sports,2010-07-15
Carnivores: Dinosaur Hunter HD,12,Playstation 3,Sports,2013-10-10
Carnivores: Ice Age,12,Sony PSP - PSP GO,Action,2011-08-16
Carol Reed - Der vergessene Tote (Time Stand Still),3,PC,Adventure,2009-03-18
Carol Reed - Mord an einem Unbekannten (East Side Story),7,PC,Adventure,2009-03-18
Carol Reed - Mord in Schweden (Remedy),7,PC,Adventure,2009-02-18
Carol Reed - Sommermord (Hope Springs Eternal),3,PC,Adventure,2009-03-18
Carol Vorderman Sudoku,3,Playstation 2,Action,2006-07-21
Carol Vorderman Sudoku,3,Sony PSP,Action,2006-07-21
Carps&Dragons,7,Nintendo 3DS,Other,2013-08-01
Carriage Return,3,PlayStation Network,Other,2008-12-03
Carrier Command: Gaea Mission,16,PC,Action,2012-09-27
Carrier Command: Gaea Mission,16,XBox 360,Action,2012-09-27
Carrier Strike Force,3,PC,Simulation,2008-04-15
Cars,3,Nintendo Wii,Racing,2006-12-08
Cars,3,XBox 360,Racing,2006-11-10
Cars 2 - Racing Video Game,3,Plug and Play,Racing,2011-05-15
Cars 2: The Video Game,7,Sony PSP - PSP GO,Racing,2011-11-02
Cars 3: Driven to Win,7,Nintendo Switch,Racing,2017-06-13
Cars 3: Driven to Win,7,Nintendo Wii U,Racing,2017-06-13
Cars 3: Driven to Win,7,PlayStation 4,Racing,2017-06-13
Cars 3: Driven to Win,7,Playstation 3,Racing,2017-06-13
Cars 3: Driven to Win,7,XBox 360,Racing,2017-06-13
Cars 3: Driven to Win,7,Xbox One,Racing,2017-06-13
Cars Mater-National,3,PC,Racing,2007-11-30
Cars Toon Mater's Tall Tales,3,Nintendo Wii,Other,2010-10-07
Cars Toon Mater's Tall Tales,3,PC,Other,2010-10-07
Cars: Mater-National,3,Game Boy Advance,Racing,2007-10-26
Cars: Mater-National,3,Nintendo DS,Racing,2007-10-26
Cars: Mater-National,3,Nintendo Wii,Racing,2007-10-26
Cars: Mater-National,3,Playstation 2,Racing,2007-10-26
Cars: Mater-National,3,Playstation 3,Racing,2007-10-26
Cars: Mater-National,3,XBox 360,Racing,2007-10-26
Cars: Race O Rama,3,Nintendo DS,Racing,2009-10-16
Cars: Race O Rama,3,Nintendo Wii,Racing,2009-10-16
Cars: Race O Rama,3,Playstation 3,Racing,2009-10-16
Cars: Race O Rama,3,Sony PSP,Racing,2009-10-16
Cars: Race O Rama,3,XBox 360,Racing,2009-10-16
Cars: Race O Rama,3,XBox 360,Racing,2009-10-16
Cart Kings,3,Playstation 2,Racing,2011-03-08
Cart Kings,3,Sony PSP - PSP GO,Racing,2011-03-08
Cartoon Kingdom,3,Playstation 2,Puzzle,2006-08-18
Cartoon Network - Battle Crashers,7,Nintendo 3DS,Action,2016-11-04
Cartoon Network - Battle Crashers,7,PlayStation 4,Action,2016-11-04
Cartoon Network - Battle Crashers,7,Xbox One,Action,2016-11-04
Cartoon Network All-Stars,3,PC,Other,2007-09-30
Cartoon Network Block Party / CN Speedway,3,Game Boy Advance,Other,2005-12-01
Cartoon Network Foster Home,3,Game Boy Advance,Action,2007-01-30
Cartoon Network Punch Time Explosion,12,Nintendo 3DS,Action,2011-10-14
Cartoon Network Racing,3,Nintendo DS,Racing,2006-10-19
Cartoon Network Racing,3,Playstation 2,Racing,2006-10-19
Cartoon Network's Camp Lazio,3,Game Boy Advance,Action,2007-02-28
Cartoon Network: Punch Time Explosion XL,12,Nintendo Wii,Action,2012-04-26
Cartoon Network: Punch Time Explosion XL,12,Playstation 3,Action,2012-04-26
Cartoon Network: Punch Time Explosion XL,12,XBox 360,Action,2012-04-27
Carve,3,XBox,Racing,2003-11-15
Carwash Tycoon,3,PC,Action,2005-12-10
Carwash Tycoon,3,Playstation 2,Simulation,2006-06-16
Casebook Ep. 1-2,16,PC,Adventure,2009-10-15
Casebook: Serpente nell'Erba,16,PC,Adventure,2010-02-26
Casebook: Trilogy - Special Edition,16,PC,Adventure,2010-09-24
Casey Powell Lacrosse 16,3,PlayStation 4,Sports,2016-03-09
Casey Powell Lacrosse 16,3,Xbox One,Sports,2016-03-09
Casino Blackjack,3,PC,Board / Card,2003-05-30
Casino Blackjack Fr,3,PC,Educational,
Casino Challenge,3,PC,Other,2005-02-10
Casino Inc; The Management,12,PC,Strategy,2003-10-03
Casino Poker,3,PC,Board / Card,2004-03-26
Casino Tycoon,3,PC,Simulation,2009-02-18
Casper Scare School,3,Playstation 2,Action,2008-02-10
Casper Scare School: Spooky Sports Day,3,Nintendo DS,Other,2009-02-10
Casper Scare School: Spooky Sports Day,3,Nintendo Wii,Other,2009-03-20
Casper and The Ghostly Trio,3,Playstation 2,Action,2006-09-22
Casper's Scare School,3,Nintendo DS,Other,2008-10-31
Cassandras Abenteuer 2: Die fünfte Sonne des Nostradamus,3,PC,Puzzle,2010-05-14
Cassandras Abenteuer: Das Vermächtnis von Nostradamus,3,PC,Puzzle,2009-05-16
Cast of the Seven Godsends - Redux,12,PlayStation 4,Action,2016-02-10
Cast of the Seven Godsends - Redux,12,Xbox One,Action,2016-02-11
Castle,12,PC,Puzzle,2013-06-26
Castle - Never Judge a Book by Its Cover,16,PC,Puzzle,2013-08-01
Castle Attack 2,12,PC,Action,2005-03-24
Castle Clout 3D,7,Nintendo 3DS,Adventure,2013-10-09
Castle Conqueror,3,Nintendo DSi - DSiWare,Strategy,2011-02-22
Castle Conqueror - Against,7,Nintendo DSi - DSiWare,Strategy,2012-01-01
Castle Conqueror - Heroes,7,Nintendo DSi - DSiWare,Strategy,2011-12-01
Castle Conqueror - Heroes 2,12,Nintendo DSi - DSiWare,Strategy,2012-06-15
Castle Conqueror - Revolution,7,Nintendo DSi - DSiWare,Strategy,2011-12-01
Castle Conqueror Defender,7,Nintendo 3DS,Strategy,2014-11-27
Castle Conqueror EX,7,Nintendo 3DS,Strategy,2014-11-28
Castle Crashers,16,XBOX 360 Live Arcade,Other,2008-08-28
Castle Crashers Remastered,16,Xbox One,Action,2015-09-08
Castle Invasion: Throne Out,7,PlayStation 4,Action,2016-09-14
Castle Invasion: Throne Out,7,PlayStation Vita,Action,2016-09-14
Castle Invasion: Throne Out,7,Xbox One,Action,2016-09-14
Castle Rustle,7,Sony PSP,Strategy,2010-11-04
Castle Strike,12,PC,Strategy,2004-02-24
Castle Strike,12,PC,Strategy,2004-03-19
Castle Strike,12,PC,Strategy,2004-03-21
Castle of Illusion Starring Mickey Mouse,7,PC,Action,2013-08-20
Castle of Illusion Starring Mickey Mouse,7,Playstation 3,Action,2013-08-20
Castle of Illusion Starring Mickey Mouse,7,XBox 360,Action,2013-08-21
Castle of Illusion Starring Mickey Mouse (PSN Promotion),3,Playstation 3,Action,2013-12-15
Castle of Magic,3,Nintendo DSi - DSiWare,Action,2009-11-23
Castle of Magic,3,Plug and Play,Action,2012-08-14
Castle of Shikigami 2,7,Playstation 2,Action,2005-09-30
CastleStorm,12,Nintendo Wii U,Strategy,2013-09-25
CastleStorm,12,PC,Strategy,2013-07-29
CastleStorm,12,PlayStation 4,Strategy,2014-05-28
CastleStorm,12,PlayStation Vita,Strategy,2013-09-25
CastleStorm,12,Playstation 3,Strategy,2013-09-25
CastleStorm,12,XBox 360,Strategy,2012-12-29
CastleStorm,12,Xbox One,Strategy,2014-05-28
Castles,3,PC,Puzzle,2015-09-30
Castles,3,PlayStation 4,Puzzle,2016-05-06
Castles,3,Xbox One,Puzzle,2016-05-06
Castlevania,3,Game Boy Advance,Adventure,2005-01-07
Castlevania,7,Nintendo Wii - Virtual Console,Action,2007-03-23
Castlevania,12,Playstation 2,Adventure,2004-02-13
Castlevania - Aria of Sorrow,12,Game Boy Advance,Action,2006-02-16
Castlevania - Curse of Darkness,12,Playstation 2,Action,2006-02-16
Castlevania - Curse of Darkness,12,XBox,Action,2006-02-16
Castlevania - Dawn of Sorrow,12,Nintendo DS,Action,2005-10-14
Castlevania - Harmony of Despair,12,Playstation 3,Action,2011-05-11
Castlevania - Harmony of Dissonance,12,Game Boy Advance,Action,2006-02-16
Castlevania - Order of Ecclesia,12,Nintendo DS,Adventure,2008-12-01
Castlevania - Portrait of Ruin,12,Nintendo DS,Action,2007-03-29
Castlevania - Symphony of the Night,12,Playstation 3,Action,2012-10-03
Castlevania - Symphony of the Night,12,XBOX 360 Live Arcade,Action,2007-03-01
Castlevania - The Adventure,7,Nintendo 3DS,Action,2012-07-05
Castlevania - The Dracula X Chronicles,12,Sony PSP,Action,2008-02-14
Castlevania Aria of Sorrow,12,Nintendo Wii U,Action,2015-03-19
Castlevania Dracula X,12,Nintendo Wii U,Action,2014-11-13
Castlevania II: Simon's Quest,7,Nintendo Wii - Virtual Console,Action,2007-10-19
Castlevania III: Dracula´s Curse,7,Nintendo Wii - Virtual Console,Adventure,2008-10-31
Castlevania Judgment,12,Nintendo Wii,Action,2009-04-01
Castlevania Lords of Shadow Mirror of Fate HD,16,PC,Action,2014-03-20
Castlevania Lords of Shadow Mirror of Fate HD,16,Playstation 3,Action,2013-10-23
Castlevania Lords of Shadow Mirror of Fate HD,16,XBox 360,Action,2013-10-22
Castlevania Rebirth,12,Nintendo Wii – WiiWare,Action,2009-11-13
Castlevania: Harmony of Despair,12,XBOX 360 Live Arcade,Action,2010-06-30
Castlevania: Lords of Shadow,16,Playstation 3,Action,2010-10-07
Castlevania: Lords of Shadow,16,XBox 360,Action,2010-10-07
Castlevania: Lords of Shadow - Resurrection,16,Playstation 3,Action,2011-06-07
Castlevania: Lords of Shadow - Resurrection,16,XBox 360,Action,2011-06-07
Castlevania: Lords of Shadow - Reverie,16,Playstation 3,Action,2011-03-30
Castlevania: Lords of Shadow - Reverie,16,XBox 360,Action,2011-03-30
Castlevania: Lords of Shadow - Ultimate Edition,16,PC,Action,2013-08-29
Castlevania: Lords of Shadow 2,18,PC,Action,2014-02-26
Castlevania: Lords of Shadow 2,18,Playstation 3,Action,2014-02-27
Castlevania: Lords of Shadow 2,18,XBox 360,Action,2014-02-26
Castlevania: Lords of Shadows - Mirror of Fate,16,Nintendo 3DS,Action,2013-03-28
Casual Mania,3,Nintendo DS,Other,2009-11-13
Cat Frenzy,3,Nintendo DSi - DSiWare,Puzzle,2012-05-03
Catacombs,12,PC,RPG,2005-03-25
Catacombs integral,12,PC,RPG,2005-04-15
Catan,3,Nintendo DS,Board / Card,2009-05-11
Catan,3,Nokia mobile phone,Board / Card,2005-09-26
